"p1","eff"
"http://dbpedia.org/property/wikt",64
"http://dbpedia.org/ontology/title",63
"http://dbpedia.org/property/t",60
"http://dbpedia.org/property/n",60
"http://dbpedia.org/property/sopt",60
"http://dbpedia.org/property/source",59
"http://dbpedia.org/property/c",59
"http://dbpedia.org/property/region",56
"http://dbpedia.org/property/year",53
"http://dbpedia.org/property/urlname",53
"http://dbpedia.org/property/institutions",52
"http://dbpedia.org/property/species",52
"http://dbpedia.org/property/candidate",52
"http://dbpedia.org/property/pages",51
"http://dbpedia.org/property/voy",51
"http://dbpedia.org/property/q",51
"http://dbpedia.org/property/quote",50
"http://dbpedia.org/property/commons",50
"http://dbpedia.org/property/father",50
"http://dbpedia.org/property/d",49
"http://dbpedia.org/property/cs1Dates",48
"http://dbpedia.org/property/subDiscipline",47
"http://dbpedia.org/ontology/activeYearsEndYear",47
"http://dbpedia.org/property/religion",46
"http://dbpedia.org/property/align",45
"http://dbpedia.org/property/sign",45
"http://dbpedia.org/ontology/region",44
"http://dbpedia.org/ontology/alternativeName",44
"http://dbpedia.org/property/president",44
"http://dbpedia.org/property/genre",42
"http://dbpedia.org/ontology/era",41
"http://dbpedia.org/property/ethnicity",40
"http://dbpedia.org/property/imagesize",39
"http://dbpedia.org/property/birthname",38
"http://dbpedia.org/property/otherparty",37
"http://dbpedia.org/ontology/genre",37
"http://dbpedia.org/property/deathCause",37
"http://dbpedia.org/property/spouses",36
"http://dbpedia.org/property/reason",36
"http://dbpedia.org/property/authorLink",35
"http://dbpedia.org/property/page",33
"http://dbpedia.org/property/author",33
"http://dbpedia.org/property/chapter",32
"http://dbpedia.org/ontology/deathCause",32
"http://dbpedia.org/property/w",31
"http://dbpedia.org/property/fetchwikidata",30
"http://dbpedia.org/ontology/parent",29
"http://www.w3.org/2003/01/geo/wgs84_pos#lat",28
"http://www.georss.org/georss/point",28
"http://www.w3.org/2003/01/geo/wgs84_pos#long",28
"http://www.w3.org/2003/01/geo/wgs84_pos#geometry",28
"http://dbpedia.org/property/primeminister",28
"http://dbpedia.org/property/portal",27
"http://dbpedia.org/property/mother",27
"http://dbpedia.org/property/thesis1Title",25
"http://dbpedia.org/ontology/successor",25
"http://dbpedia.org/property/1namedata",25
"http://dbpedia.org/property/thesis1Year",25
"http://dbpedia.org/property/thesis2Title",24
"http://dbpedia.org/property/thesis2Year",24
"http://dbpedia.org/property/notableworks",24
"http://dbpedia.org/property/movement",24
"http://dbpedia.org/property/1blankname",24
"http://dbpedia.org/property/organization",24
"http://dbpedia.org/ontology/personFunction",23
"http://dbpedia.org/property/term",23
"http://dbpedia.org/property/institution",22
"http://dbpedia.org/ontology/signature",21
"http://dbpedia.org/property/1a",21
"http://dbpedia.org/property/tag",21
"http://dbpedia.org/property/video",20
"http://dbpedia.org/ontology/board",19
"http://dbpedia.org/ontology/relation",19
"http://dbpedia.org/property/type",19
"http://dbpedia.org/property/partner",19
"http://dbpedia.org/property/boards",19
"http://dbpedia.org/property/authorlink",19
"http://dbpedia.org/property/alongside",18
"http://dbpedia.org/property/rows",18
"http://dbpedia.org/ontology/religion",17
"http://dbpedia.org/property/contributions",17
"http://dbpedia.org/ontology/field",16
"http://dbpedia.org/property/1y",16
"http://dbpedia.org/property/at",15
"http://dbpedia.org/ontology/predecessor",14
"http://dbpedia.org/property/small",14
"http://dbpedia.org/property/burialPlace",14
"http://dbpedia.org/property/ribbon",14
"http://dbpedia.org/property/by",14
"http://dbpedia.org/property/float",14
"http://dbpedia.org/property/relations",14
"http://dbpedia.org/property/imageUpright",13
"http://dbpedia.org/property/constituency",13
"http://dbpedia.org/property/veneratedIn",13
"http://dbpedia.org/ontology/diocese",13
"http://dbpedia.org/property/known",12
"http://dbpedia.org/property/in",12
"http://dbpedia.org/property/no",12
"http://dbpedia.org/property/data",12
"http://dbpedia.org/property/colwidth",12
"http://dbpedia.org/property/mw",12
"http://dbpedia.org/property/country",12
"http://dbpedia.org/property/m",12
"http://dbpedia.org/property/serviceyears",12
"http://dbpedia.org/property/onlinebooksby",12
"http://dbpedia.org/ontology/notableWork",12
"http://dbpedia.org/property/with",11
"http://dbpedia.org/property/class",11
"http://dbpedia.org/property/rank",11
"http://dbpedia.org/property/disappearedPlace",11
"http://dbpedia.org/property/pseudonym",11
"http://dbpedia.org/ontology/veneratedIn",11
"http://dbpedia.org/property/footer",10
"http://dbpedia.org/property/article",10
"http://dbpedia.org/property/diocese",10
"http://dbpedia.org/property/majorWorks",10
"http://dbpedia.org/ontology/country",10
"http://dbpedia.org/property/thesis1Url",10
"http://dbpedia.org/ontology/imdbId",10
"http://dbpedia.org/property/1loc",10
"http://dbpedia.org/ontology/pseudonym",10
"http://dbpedia.org/ontology/depictionDescription",9
"http://dbpedia.org/property/death",9
"http://dbpedia.org/property/cc",9
"http://dbpedia.org/property/instrument",9
"http://dbpedia.org/property/langcode",9
"http://dbpedia.org/property/issue",9
"http://dbpedia.org/property/direction",9
"http://dbpedia.org/property/birth",9
"http://dbpedia.org/property/affiliations",8
"http://dbpedia.org/property/artikel",8
"http://dbpedia.org/property/tradition",8
"http://dbpedia.org/property/module",8
"http://dbpedia.org/property/church",8
"http://dbpedia.org/property/autor",8
"http://dbpedia.org/property/titles",8
"http://dbpedia.org/property/parliamentarygroup",8
"http://dbpedia.org/ontology/discipline",8
"http://dbpedia.org/property/district",8
