,occupation,effectif,classes
222,Mechanical Engineering,1,ing_info
223,Paleoclimatology,1,sci_nat
224,Optimization,1,math
225,Ornithology,1,sci_nat
226,Nuclear physics,1,sci_nat
227,Mining,1,none
228,Mysticism,1,theo
229,Nautical science,1,none
230,Ontology,1,philo
231,Oceanography,1,sci_nat
232,Numismatics,1,none
233,Numerical mathematics,1,math
234,Papyrology,1,none
235,Network science,1,math
236,Newspaper,1,none
237,Non-linear,1,math
238,Noncommutative algebraic geometry,1,math
239,Noncommutative geometry,1,math
240,Numerical integration,1,math
241,Nonlinear,1,math
242,Nonlinear Systems,1,math
243,Numerical computation,1,math
244,Nonlinear acoustics,1,sci_nat
245,Nonlinear programming,1,ing_info
246,Naturopathy,1,autre
247,Muslim,1,theo
248,Mining engineer,1,ing_info
249,Musicology,1,autre
250,Modular form,1,math
251,Moduli spaces,1,math
252,Novelist,1,art
253,Molecular Biology,1,sci_nat
254,Monarch,1,none
255,Operator algebra,1,math
256,Monodromy,1,math
257,Moral philosophy,1,philo
258,Moscow State University,1,none
259,Multi-criteria decision analysis,1,math
260,Multidimensional geometry,1,math
261,Multiobjective optimization,1,math
262,Music,1,art
263,Music educator,1,art
264,Music theorist,1,art
265,Musical acoustics,1,art
266,Musician,1,art
267,Network (mathematics),1,math
268,4th World Scout Jamboree,1,none
269,Parapsychology,1,sci_hum
270,Special functions,1,math
271,Symmetry,1,math
272,Sustainable energy,1,sci_nat
273,Supervisory Board,1,none
274,Subfactor,1,math
275,Structural mechanics,1,ing_info
276,Stochastic processes,1,math
277,Stochastic geometry,1,math
278,Stochastic differential equation,1,math
279,Stochastic analysis,1,math
280,Stochastic Processes,1,math
281,Stereochemistry,1,sci_nat
282,Statistical shape analysis,1,math
283,Spectral theory,1,math
284,Special relativity,1,sci_nat
285,Space scientist,1,sci_nat
286,Partial differential operator,1,math
287,Sociolinguistics,1,sci_hum
288,Social statistics,1,sci_hum
289,Social reformer,1,none
290,Social network analysis,1,none
291,Social issues,1,none
292,Sinology,1,none
293,Set-valued analysis,1,math
294,Set-theoretic topology,1,math
295,Semigroup theory,1,math
296,Semidefinite programming,1,ing_info
297,Semantics,1,autre
298,Seismology,1,sci_nat
299,Secret Intelligence Service,1,none
300,Sculpture,1,art
301,Synthetic geometry,1,math
302,System Theory,1,autre
303,Systems Biology,1,sci_nat
304,Systems Ecology,1,sci_nat
305,Zoologist,1,sci_nat
306,Writing,1,art
307,World War II,1,none
308,Welfare economics,1,sci_hum
309,Web search,1,ing_info
310,Von Neumann algebra,1,math
311,Video game developer,1,ing_info
312,Urban planner,1,autre
313,University of Virginia,1,none
314,University Professor,1,none
315,Typography,1,none
316,Trigonometry,1,math
317,Trigonometric series,1,math
318,Transportation Economics,1,sci_hum
319,Trade association,1,none
320,Topological graph theory,1,math
321,Topological dynamics,1,math
322,Topography,1,sci_nat
323,Theory of numbers,1,math
324,Theory of elasticity,1,math
325,Theoretical linguistics,1,sci_hum
326,Theoretical computer scientist,1,ing_info
327,Theologian,1,theo
328,Tessellation,1,math
329,Terrestrial Magnetism,1,sci_nat
330,Tensor calculus,1,math
331,Systems theory,1,math
332,Systems Theory,1,math
333,Systems Engineering,1,ing_info
334,Scriptwriter,1,art
335,Screenwriter,1,art
336,Scientometrics,1,none
337,Quantum graph,1,math
338,Quantum Mechanics,1,sci_nat
339,Quadratic forms,1,math
340,Puzzles,1,none
341,Pure mathematics,1,math
342,Pure Mathematics,1,math
343,Pundit,1,none
344,Psychometrics,1,none
345,Psychiatry,1,sci_hum
346,Provost (education),1,none
347,Princeton University,1,none
348,Population genetics,1,sci_nat
349,Popular science,1,none
350,Polymath,1,none
351,Polygraph (author),1,none
352,Politics,1,autre
353,Political science,1,sci_hum
354,Political leader,1,none
355,Political Sociology,1,sci_hum
356,Playwright,1,none
357,Plasticity (physics),1,sci_nat
358,Plant physiology,1,sci_nat
359,Physiologist,1,sci_nat
360,Physical oceanography,1,sci_nat
361,Physical cosmology,1,sci_nat
362,Philosophy of logic,1,philo
363,Philosophy of Science,1,philo
364,Philologist,1,philo
365,Pedagogy,1,sci_hum
366,Pattern recognition,1,none
367,Quantum chaos,1,math
368,Quantum group,1,math
369,Scientific computing,1,ing_info
370,Quantum mechanics,1,sci_nat
371,Scientific Computation,1,none
372,Sciences,1,none
373,Science policy,1,none
374,Science Communication,1,none
375,Science,1,none
376,School Teacher,1,none
377,Scholar,1,none
378,SETI,1,none
379,Rutgers University,1,none
380,Romanian literature,1,autre
381,Robotics,1,ing_info
382,Riobamba,1,none
383,Ring (mathematics),1,math
384,Riemann–Hilbert problem,1,math
385,Riemannian Geometry,1,math
386,Riemann hypothesis,1,math
387,Rheology,1,sci_nat
388,Research,1,none
389,Representation Theory,1,none
390,Renaissance humanist,1,none
391,Renaissance Humanism,1,none
392,Religious study,1,theo
393,Religious studies,1,theo
394,Religious Minister,1,none
395,Regent,1,none
396,Rector (academia),1,none
397,Random matrix theory,1,math
398,Random field,1,math
399,Race relations,1,none
400,Professor emeritus,1,none
401,Hypergeometric series,1,none
402,Mathematic,1,math
403,Complex Networks,1,none
404,Combinatorial optimization,1,math
405,Combinatorial topology,1,math
406,Commutative algebra,1,math
407,Commutative ring,1,math
408,Comparative anatomy,1,sci_nat
409,Complex Analysis,1,math
410,Complex system,1,none
411,Combinatorial design,1,none
412,Composer,1,art
413,Computational biology,1,sci_hum
414,Computational complexity theory,1,math
415,Computational linguistics,1,autre
416,Computational number theory,1,math
417,Computer Scientist,1,ing_info
418,Combinatorial game theory,1,math
419,Combinatorial Optimization,1,math
420,Cellular Biology,1,sci_nat
421,Chronobiology,1,sci_nat
422,Chaos Theory,1,math
423,Chaos theory,1,math
424,Chemical engineering,1,sci_nat
425,Chess,1,none
426,Chief executive officer,1,none
427,Choreographer,1,art
428,Civil engineering,1,ing_info
429,Cognitive science,1,sci_nat
430,Civil service,1,none
431,Class field theory,1,math
432,Classics,1,none
433,Climatology,1,sci_nat
434,Coastal engineering,1,ing_info
435,Cognitive Science,1,sci_nat
436,Computer Security,1,ing_info
437,Computer Simulation,1,ing_info
438,Computer networks,1,ing_info
439,Developmental Biology,1,sci_nat
440,Data communication,1,ing_info
441,Data privacy,1,ing_info
442,Database theory,1,ing_info
443,Deputy (legislator),1,none
