"o1","birthYear"
"http://dbpedia.org/resource/Qusta_ibn_Luqa",820
"http://dbpedia.org/resource/Abu_al-Wafa'_Buzjani",940
"http://dbpedia.org/resource/Maslama_al-Majriti",950
"http://dbpedia.org/resource/Al-Karaji",953
"http://dbpedia.org/resource/Abu_Nasr_Mansur",970
"http://dbpedia.org/resource/Abu_Mansur_al-Baghdadi",980
"http://dbpedia.org/resource/Omar_Khayyam",1048
"http://dbpedia.org/resource/Brahmadeva",1060
"http://dbpedia.org/resource/Michael_Scot",1175
"http://dbpedia.org/resource/Guo_Shoujing",1231
"http://dbpedia.org/resource/Ibn_al-Banna'_al-Marrakushi",1256
"http://dbpedia.org/resource/Maximus_Planudes",1260
"http://dbpedia.org/resource/Vedanta_Desika",1268
"http://dbpedia.org/resource/Zhao_Youqin",1271
"http://dbpedia.org/resource/Gersonides",1288
"http://dbpedia.org/resource/Ibn_al-Shatir",1304
"http://dbpedia.org/resource/Ibn_Khaldun",1332
"http://dbpedia.org/resource/Albert_III,_Duke_of_Austria",1349
"http://dbpedia.org/resource/Ibn_al-Majdi",1359
"http://dbpedia.org/resource/Johannes_von_Gmunden",1380
"http://dbpedia.org/resource/Ulugh_Beg",1394
"http://dbpedia.org/resource/Georg_von_Peuerbach",1423
"http://dbpedia.org/resource/Antonio_Manetti",1423
"http://dbpedia.org/resource/Regiomontanus",1436
"http://dbpedia.org/resource/Lương_Thế_Vinh",1441
"http://dbpedia.org/resource/Nilakantha_Somayaji",1444
"http://dbpedia.org/resource/Luca_Pacioli",1447
"http://dbpedia.org/resource/Abraham_Zacuto",1452
"http://dbpedia.org/resource/Scipione_del_Ferro",1465
"http://dbpedia.org/resource/Estienne_de_La_Roche",1470
"http://dbpedia.org/resource/Nicolaus_Copernicus",1473
"http://dbpedia.org/resource/Michael_Stifel",1487
"http://dbpedia.org/resource/Nicholas_Kratzer",1487
"http://dbpedia.org/resource/Adam_Ries",1492
"http://dbpedia.org/resource/Francesco_Maurolico",1494
"http://dbpedia.org/resource/Oronce_Finé",1494
"http://dbpedia.org/resource/Niccolò_Fontana_Tartaglia",1499
"http://dbpedia.org/resource/Gianello_della_Torre",1500
"http://dbpedia.org/resource/Pedro_Nunes",1502
"http://dbpedia.org/resource/Justus_Velsius",1510
"http://dbpedia.org/resource/Erasmus_Reinhold",1511
"http://dbpedia.org/resource/Georg_Joachim_Rheticus",1514
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans",1517
"http://dbpedia.org/resource/Lodovico_Ferrari",1522
"http://dbpedia.org/resource/Hermann_Wilken",1522
"http://dbpedia.org/resource/Robert_Pont",1524
"http://dbpedia.org/resource/Peter_Agricola",1525
"http://dbpedia.org/resource/John_Dee",1527
"http://dbpedia.org/resource/Giambattista_Benedetti",1530
"http://dbpedia.org/resource/Juan_de_Herrera",1530
"http://dbpedia.org/resource/Zhu_Zaiyu",1536
"http://dbpedia.org/resource/Christopher_Clavius",1538
"http://dbpedia.org/resource/Ludolph_van_Ceulen",1540
"http://dbpedia.org/resource/François_Viète",1540
"http://dbpedia.org/resource/Ostilio_Ricci",1540
"http://dbpedia.org/resource/David_Gans",1541
"http://dbpedia.org/resource/Rudolph_Snellius",1546
