,relation,periode,effectif
731,Poland-Austria,1801-1850,1
732,Poland-Austria,1851-1900,0
733,Poland-Austria,1901-1950,0
734,Poland-Austria,1951-2000,0
735,Poland-Netherlands,1451-1800,0
736,Poland-Netherlands,1801-1850,0
737,Poland-Netherlands,1851-1900,0
738,Poland-Netherlands,1901-1950,1
739,Poland-Netherlands,1951-2000,0
740,Poland-Poland,1451-1800,0
741,Poland-Poland,1801-1850,0
742,Poland-Poland,1851-1900,1
743,Poland-Poland,1901-1950,5
744,Poland-Poland,1951-2000,0
745,Poland-United States of America,1451-1800,0
746,Poland-United States of America,1801-1850,0
747,Poland-United States of America,1851-1900,1
748,Poland-United States of America,1901-1950,0
749,Poland-United States of America,1951-2000,0
750,Portugal-United States of America,1451-1800,0
751,Portugal-United States of America,1801-1850,0
752,Portugal-United States of America,1851-1900,0
753,Portugal-United States of America,1901-1950,0
754,Portugal-United States of America,1951-2000,3
755,Romania-Austria,1451-1800,0
756,Romania-Austria,1801-1850,0
757,Romania-Austria,1851-1900,0
758,Romania-Austria,1901-1950,1
759,Romania-Austria,1951-2000,0
760,Romania-France,1451-1800,0
761,Romania-France,1801-1850,0
762,Romania-France,1851-1900,0
763,Romania-France,1901-1950,4
764,Romania-France,1951-2000,0
765,Romania-Germany,1451-1800,0
766,Romania-Germany,1801-1850,0
767,Romania-Germany,1851-1900,0
768,Romania-Germany,1901-1950,3
769,Romania-Germany,1951-2000,0
770,Romania-Italy,1451-1800,0
771,Romania-Italy,1801-1850,0
772,Romania-Italy,1851-1900,2
773,Romania-Italy,1901-1950,1
774,Romania-Italy,1951-2000,0
775,Romania-Romania,1451-1800,0
776,Romania-Romania,1801-1850,0
777,Romania-Romania,1851-1900,4
778,Romania-Romania,1901-1950,10
779,Romania-Romania,1951-2000,1
780,Romania-United Kingdom,1451-1800,0
781,Romania-United Kingdom,1801-1850,0
782,Romania-United Kingdom,1851-1900,0
783,Romania-United Kingdom,1901-1950,1
784,Romania-United Kingdom,1951-2000,0
785,Romania-United States of America,1451-1800,0
786,Romania-United States of America,1801-1850,0
787,Romania-United States of America,1851-1900,0
788,Romania-United States of America,1901-1950,7
789,Romania-United States of America,1951-2000,4
790,Russia-Austria,1451-1800,0
791,Russia-Austria,1801-1850,0
792,Russia-Austria,1851-1900,1
793,Russia-Austria,1901-1950,0
794,Russia-Austria,1951-2000,0
795,Russia-Belgium,1451-1800,0
796,Russia-Belgium,1801-1850,0
797,Russia-Belgium,1851-1900,0
798,Russia-Belgium,1901-1950,0
799,Russia-Belgium,1951-2000,1
800,Russia-Brazil,1451-1800,0
801,Russia-Brazil,1801-1850,0
802,Russia-Brazil,1851-1900,0
803,Russia-Brazil,1901-1950,0
804,Russia-Brazil,1951-2000,1
805,Russia-Canada,1451-1800,0
806,Russia-Canada,1801-1850,0
807,Russia-Canada,1851-1900,0
808,Russia-Canada,1901-1950,1
809,Russia-Canada,1951-2000,0
810,Russia-China,1451-1800,0
811,Russia-China,1801-1850,0
812,Russia-China,1851-1900,0
813,Russia-China,1901-1950,2
814,Russia-China,1951-2000,0
815,Russia-Germany,1451-1800,0
816,Russia-Germany,1801-1850,0
817,Russia-Germany,1851-1900,0
818,Russia-Germany,1901-1950,0
819,Russia-Germany,1951-2000,1
820,Russia-Israel,1451-1800,0
821,Russia-Israel,1801-1850,0
822,Russia-Israel,1851-1900,0
823,Russia-Israel,1901-1950,1
824,Russia-Israel,1951-2000,3
825,Russia-Russia,1451-1800,0
826,Russia-Russia,1801-1850,0
827,Russia-Russia,1851-1900,6
828,Russia-Russia,1901-1950,15
829,Russia-Russia,1951-2000,7
830,Russia-Ukraine,1451-1800,0
831,Russia-Ukraine,1801-1850,0
832,Russia-Ukraine,1851-1900,0
833,Russia-Ukraine,1901-1950,2
834,Russia-Ukraine,1951-2000,0
835,Russia-United Kingdom,1451-1800,0
836,Russia-United Kingdom,1801-1850,0
837,Russia-United Kingdom,1851-1900,0
838,Russia-United Kingdom,1901-1950,0
839,Russia-United Kingdom,1951-2000,5
840,Russia-United States of America,1451-1800,0
841,Russia-United States of America,1801-1850,0
842,Russia-United States of America,1851-1900,4
843,Russia-United States of America,1901-1950,4
844,Russia-United States of America,1951-2000,11
845,Russia-Uzbekistan,1451-1800,0
846,Russia-Uzbekistan,1801-1850,0
847,Russia-Uzbekistan,1851-1900,0
848,Russia-Uzbekistan,1901-1950,1
849,Russia-Uzbekistan,1951-2000,0
850,Saudi Arabia-Pakistan,1451-1800,0
851,Saudi Arabia-Pakistan,1801-1850,0
852,Saudi Arabia-Pakistan,1851-1900,0
853,Saudi Arabia-Pakistan,1901-1950,1
854,Saudi Arabia-Pakistan,1951-2000,0
855,Saudi Arabia-United Kingdom,1451-1800,0
856,Saudi Arabia-United Kingdom,1801-1850,0
857,Saudi Arabia-United Kingdom,1851-1900,0
858,Saudi Arabia-United Kingdom,1901-1950,1
859,Saudi Arabia-United Kingdom,1951-2000,0
860,Saudi Arabia-United States of America,1451-1800,0
861,Saudi Arabia-United States of America,1801-1850,0
862,Saudi Arabia-United States of America,1851-1900,0
863,Saudi Arabia-United States of America,1901-1950,1
864,Saudi Arabia-United States of America,1951-2000,0
865,Serbia-Serbia,1451-1800,0
866,Serbia-Serbia,1801-1850,0
867,Serbia-Serbia,1851-1900,0
868,Serbia-Serbia,1901-1950,4
869,Serbia-Serbia,1951-2000,0
870,South Africa-United States of America,1451-1800,0
871,South Africa-United States of America,1801-1850,0
872,South Africa-United States of America,1851-1900,0
873,South Africa-United States of America,1901-1950,2
874,South Africa-United States of America,1951-2000,0
875,Spain-Argentina,1451-1800,0
876,Spain-Argentina,1801-1850,0
877,Spain-Argentina,1851-1900,2
878,Spain-Argentina,1901-1950,0
879,Spain-Argentina,1951-2000,0
880,Spain-France,1451-1800,0
881,Spain-France,1801-1850,0
882,Spain-France,1851-1900,0
883,Spain-France,1901-1950,0
884,Spain-France,1951-2000,1
885,Spain-Spain,1451-1800,0
886,Spain-Spain,1801-1850,0
887,Spain-Spain,1851-1900,0
888,Spain-Spain,1901-1950,1
889,Spain-Spain,1951-2000,0
890,Sweden-Sweden,1451-1800,0
891,Sweden-Sweden,1801-1850,0
892,Sweden-Sweden,1851-1900,0
893,Sweden-Sweden,1901-1950,2
894,Sweden-Sweden,1951-2000,0
895,Sweden-United States of America,1451-1800,0
896,Sweden-United States of America,1801-1850,0
897,Sweden-United States of America,1851-1900,0
898,Sweden-United States of America,1901-1950,3
899,Sweden-United States of America,1951-2000,0
900,Switzerland-France,1451-1800,0
901,Switzerland-France,1801-1850,0
902,Switzerland-France,1851-1900,0
903,Switzerland-France,1901-1950,1
904,Switzerland-France,1951-2000,0
905,Switzerland-Germany,1451-1800,0
906,Switzerland-Germany,1801-1850,1
907,Switzerland-Germany,1851-1900,4
908,Switzerland-Germany,1901-1950,0
909,Switzerland-Germany,1951-2000,0
910,Switzerland-Israel,1451-1800,0
911,Switzerland-Israel,1801-1850,0
912,Switzerland-Israel,1851-1900,0
913,Switzerland-Israel,1901-1950,0
914,Switzerland-Israel,1951-2000,1
915,Switzerland-Netherlands,1451-1800,0
916,Switzerland-Netherlands,1801-1850,0
917,Switzerland-Netherlands,1851-1900,1
918,Switzerland-Netherlands,1901-1950,0
919,Switzerland-Netherlands,1951-2000,0
920,Switzerland-Switzerland,1451-1800,0
921,Switzerland-Switzerland,1801-1850,0
922,Switzerland-Switzerland,1851-1900,2
923,Switzerland-Switzerland,1901-1950,0
924,Switzerland-Switzerland,1951-2000,0
925,Switzerland-United States of America,1451-1800,0
926,Switzerland-United States of America,1801-1850,0
927,Switzerland-United States of America,1851-1900,0
928,Switzerland-United States of America,1901-1950,1
929,Switzerland-United States of America,1951-2000,3
930,Turkey-Japan,1451-1800,0
931,Turkey-Japan,1801-1850,0
932,Turkey-Japan,1851-1900,0
933,Turkey-Japan,1901-1950,2
934,Turkey-Japan,1951-2000,0
935,Turkey-Turkey,1451-1800,0
936,Turkey-Turkey,1801-1850,0
937,Turkey-Turkey,1851-1900,0
938,Turkey-Turkey,1901-1950,1
939,Turkey-Turkey,1951-2000,9
940,Uganda-Norway,1451-1800,0
941,Uganda-Norway,1801-1850,0
942,Uganda-Norway,1851-1900,0
943,Uganda-Norway,1901-1950,0
944,Uganda-Norway,1951-2000,1
945,Ukraine-Ukraine,1451-1800,0
946,Ukraine-Ukraine,1801-1850,0
947,Ukraine-Ukraine,1851-1900,0
948,Ukraine-Ukraine,1901-1950,1
949,Ukraine-Ukraine,1951-2000,0
950,United Kingdom-Australia,1451-1800,0
951,United Kingdom-Australia,1801-1850,0
952,United Kingdom-Australia,1851-1900,0
953,United Kingdom-Australia,1901-1950,1
954,United Kingdom-Australia,1951-2000,0
955,United Kingdom-Austria,1451-1800,0
956,United Kingdom-Austria,1801-1850,0
957,United Kingdom-Austria,1851-1900,0
958,United Kingdom-Austria,1901-1950,0
959,United Kingdom-Austria,1951-2000,1
960,United Kingdom-Bangladesh,1451-1800,0
961,United Kingdom-Bangladesh,1801-1850,0
962,United Kingdom-Bangladesh,1851-1900,0
963,United Kingdom-Bangladesh,1901-1950,1
964,United Kingdom-Bangladesh,1951-2000,0
965,United Kingdom-Belgium,1451-1800,0
966,United Kingdom-Belgium,1801-1850,0
967,United Kingdom-Belgium,1851-1900,0
968,United Kingdom-Belgium,1901-1950,0
969,United Kingdom-Belgium,1951-2000,1
970,United Kingdom-Canada,1451-1800,0
971,United Kingdom-Canada,1801-1850,0
972,United Kingdom-Canada,1851-1900,0
973,United Kingdom-Canada,1901-1950,12
974,United Kingdom-Canada,1951-2000,2
975,United Kingdom-France,1451-1800,0
976,United Kingdom-France,1801-1850,0
977,United Kingdom-France,1851-1900,0
978,United Kingdom-France,1901-1950,1
979,United Kingdom-France,1951-2000,2
980,United Kingdom-Germany,1451-1800,0
981,United Kingdom-Germany,1801-1850,0
982,United Kingdom-Germany,1851-1900,7
983,United Kingdom-Germany,1901-1950,4
984,United Kingdom-Germany,1951-2000,3
985,United Kingdom-Italy,1451-1800,0
986,United Kingdom-Italy,1801-1850,0
987,United Kingdom-Italy,1851-1900,6
988,United Kingdom-Italy,1901-1950,1
989,United Kingdom-Italy,1951-2000,0
990,United Kingdom-Netherlands,1451-1800,0
991,United Kingdom-Netherlands,1801-1850,0
992,United Kingdom-Netherlands,1851-1900,0
993,United Kingdom-Netherlands,1901-1950,2
994,United Kingdom-Netherlands,1951-2000,0
995,United Kingdom-New Zealand,1451-1800,0
996,United Kingdom-New Zealand,1801-1850,0
997,United Kingdom-New Zealand,1851-1900,0
998,United Kingdom-New Zealand,1901-1950,2
999,United Kingdom-New Zealand,1951-2000,1
1000,United Kingdom-Norway,1451-1800,0
1001,United Kingdom-Norway,1801-1850,0
1002,United Kingdom-Norway,1851-1900,0
1003,United Kingdom-Norway,1901-1950,5
1004,United Kingdom-Norway,1951-2000,0
1005,United Kingdom-Pakistan,1451-1800,0
1006,United Kingdom-Pakistan,1801-1850,0
1007,United Kingdom-Pakistan,1851-1900,1
1008,United Kingdom-Pakistan,1901-1950,1
1009,United Kingdom-Pakistan,1951-2000,1
1010,United Kingdom-Poland,1451-1800,0
1011,United Kingdom-Poland,1801-1850,0
1012,United Kingdom-Poland,1851-1900,0
1013,United Kingdom-Poland,1901-1950,1
1014,United Kingdom-Poland,1951-2000,0
1015,United Kingdom-Portugal,1451-1800,0
1016,United Kingdom-Portugal,1801-1850,0
1017,United Kingdom-Portugal,1851-1900,0
1018,United Kingdom-Portugal,1901-1950,0
1019,United Kingdom-Portugal,1951-2000,1
1020,United Kingdom-Romania,1451-1800,0
1021,United Kingdom-Romania,1801-1850,0
1022,United Kingdom-Romania,1851-1900,0
1023,United Kingdom-Romania,1901-1950,2
1024,United Kingdom-Romania,1951-2000,0
1025,United Kingdom-Russia,1451-1800,0
1026,United Kingdom-Russia,1801-1850,0
1027,United Kingdom-Russia,1851-1900,0
1028,United Kingdom-Russia,1901-1950,0
1029,United Kingdom-Russia,1951-2000,1
1030,United Kingdom-Saudi Arabia,1451-1800,0
1031,United Kingdom-Saudi Arabia,1801-1850,0
1032,United Kingdom-Saudi Arabia,1851-1900,0
1033,United Kingdom-Saudi Arabia,1901-1950,1
1034,United Kingdom-Saudi Arabia,1951-2000,0
1035,United Kingdom-South Africa,1451-1800,0
1036,United Kingdom-South Africa,1801-1850,0
1037,United Kingdom-South Africa,1851-1900,1
1038,United Kingdom-South Africa,1901-1950,2
1039,United Kingdom-South Africa,1951-2000,0
1040,United Kingdom-United Kingdom,1451-1800,2
1041,United Kingdom-United Kingdom,1801-1850,16
1042,United Kingdom-United Kingdom,1851-1900,46
1043,United Kingdom-United Kingdom,1901-1950,157
1044,United Kingdom-United Kingdom,1951-2000,70
1045,United Kingdom-United States of America,1451-1800,0
1046,United Kingdom-United States of America,1801-1850,3
1047,United Kingdom-United States of America,1851-1900,5
1048,United Kingdom-United States of America,1901-1950,35
1049,United Kingdom-United States of America,1951-2000,15
1050,United States of America-Argentina,1451-1800,0
1051,United States of America-Argentina,1801-1850,0
1052,United States of America-Argentina,1851-1900,0
1053,United States of America-Argentina,1901-1950,3
1054,United States of America-Argentina,1951-2000,0
1055,United States of America-Australia,1451-1800,0
1056,United States of America-Australia,1801-1850,0
1057,United States of America-Australia,1851-1900,0
1058,United States of America-Australia,1901-1950,3
1059,United States of America-Australia,1951-2000,1
1060,United States of America-Austria,1451-1800,0
1061,United States of America-Austria,1801-1850,0
1062,United States of America-Austria,1851-1900,3
1063,United States of America-Austria,1901-1950,7
1064,United States of America-Austria,1951-2000,1
1065,United States of America-Belgium,1451-1800,0
1066,United States of America-Belgium,1801-1850,0
1067,United States of America-Belgium,1851-1900,0
1068,United States of America-Belgium,1901-1950,2
1069,United States of America-Belgium,1951-2000,1
1070,United States of America-Brazil,1451-1800,0
1071,United States of America-Brazil,1801-1850,0
1072,United States of America-Brazil,1851-1900,0
1073,United States of America-Brazil,1901-1950,0
1074,United States of America-Brazil,1951-2000,4
1075,United States of America-Canada,1451-1800,0
1076,United States of America-Canada,1801-1850,0
1077,United States of America-Canada,1851-1900,1
1078,United States of America-Canada,1901-1950,29
1079,United States of America-Canada,1951-2000,9
1080,United States of America-China,1451-1800,0
1081,United States of America-China,1801-1850,0
1082,United States of America-China,1851-1900,0
1083,United States of America-China,1901-1950,3
1084,United States of America-China,1951-2000,10
1085,United States of America-Croatia,1451-1800,0
1086,United States of America-Croatia,1801-1850,0
1087,United States of America-Croatia,1851-1900,0
1088,United States of America-Croatia,1901-1950,3
1089,United States of America-Croatia,1951-2000,0
1090,United States of America-Czechia,1451-1800,0
1091,United States of America-Czechia,1801-1850,0
1092,United States of America-Czechia,1851-1900,0
1093,United States of America-Czechia,1901-1950,1
1094,United States of America-Czechia,1951-2000,0
1095,United States of America-Denmark,1451-1800,0
1096,United States of America-Denmark,1801-1850,0
1097,United States of America-Denmark,1851-1900,0
1098,United States of America-Denmark,1901-1950,3
1099,United States of America-Denmark,1951-2000,0
1100,United States of America-Finland,1451-1800,0
1101,United States of America-Finland,1801-1850,0
1102,United States of America-Finland,1851-1900,0
1103,United States of America-Finland,1901-1950,1
1104,United States of America-Finland,1951-2000,0
1105,United States of America-France,1451-1800,0
1106,United States of America-France,1801-1850,0
1107,United States of America-France,1851-1900,6
1108,United States of America-France,1901-1950,3
1109,United States of America-France,1951-2000,2
1110,United States of America-Germany,1451-1800,0
1111,United States of America-Germany,1801-1850,0
1112,United States of America-Germany,1851-1900,15
1113,United States of America-Germany,1901-1950,20
1114,United States of America-Germany,1951-2000,6
1115,United States of America-Greece,1451-1800,0
1116,United States of America-Greece,1801-1850,0
1117,United States of America-Greece,1851-1900,0
1118,United States of America-Greece,1901-1950,0
1119,United States of America-Greece,1951-2000,1
1120,United States of America-Hungary,1451-1800,0
1121,United States of America-Hungary,1801-1850,0
1122,United States of America-Hungary,1851-1900,0
1123,United States of America-Hungary,1901-1950,2
1124,United States of America-Hungary,1951-2000,1
1125,United States of America-India,1451-1800,0
1126,United States of America-India,1801-1850,0
1127,United States of America-India,1851-1900,0
1128,United States of America-India,1901-1950,1
1129,United States of America-India,1951-2000,2
1130,United States of America-Israel,1451-1800,0
1131,United States of America-Israel,1801-1850,0
1132,United States of America-Israel,1851-1900,0
1133,United States of America-Israel,1901-1950,11
1134,United States of America-Israel,1951-2000,3
1135,United States of America-Italy,1451-1800,0
1136,United States of America-Italy,1801-1850,0
1137,United States of America-Italy,1851-1900,0
1138,United States of America-Italy,1901-1950,3
1139,United States of America-Italy,1951-2000,1
1140,United States of America-Japan,1451-1800,0
1141,United States of America-Japan,1801-1850,0
1142,United States of America-Japan,1851-1900,0
1143,United States of America-Japan,1901-1950,7
1144,United States of America-Japan,1951-2000,1
1145,United States of America-Mexico,1451-1800,0
1146,United States of America-Mexico,1801-1850,0
1147,United States of America-Mexico,1851-1900,2
1148,United States of America-Mexico,1901-1950,0
1149,United States of America-Mexico,1951-2000,0
1150,United States of America-Netherlands,1451-1800,0
1151,United States of America-Netherlands,1801-1850,0
1152,United States of America-Netherlands,1851-1900,1
1153,United States of America-Netherlands,1901-1950,4
1154,United States of America-Netherlands,1951-2000,0
1155,United States of America-Norway,1451-1800,0
1156,United States of America-Norway,1801-1850,0
1157,United States of America-Norway,1851-1900,0
1158,United States of America-Norway,1901-1950,5
1159,United States of America-Norway,1951-2000,0
1160,United States of America-Pakistan,1451-1800,0
1161,United States of America-Pakistan,1801-1850,0
1162,United States of America-Pakistan,1851-1900,0
1163,United States of America-Pakistan,1901-1950,0
1164,United States of America-Pakistan,1951-2000,4
1165,United States of America-Palestine,1451-1800,0
1166,United States of America-Palestine,1801-1850,0
1167,United States of America-Palestine,1851-1900,0
1168,United States of America-Palestine,1901-1950,1
1169,United States of America-Palestine,1951-2000,0
1170,United States of America-Poland,1451-1800,0
1171,United States of America-Poland,1801-1850,0
1172,United States of America-Poland,1851-1900,1
1173,United States of America-Poland,1901-1950,8
1174,United States of America-Poland,1951-2000,2
1175,United States of America-Puerto Rico,1451-1800,0
1176,United States of America-Puerto Rico,1801-1850,0
1177,United States of America-Puerto Rico,1851-1900,0
1178,United States of America-Puerto Rico,1901-1950,1
1179,United States of America-Puerto Rico,1951-2000,0
1180,United States of America-Romania,1451-1800,0
1181,United States of America-Romania,1801-1850,0
1182,United States of America-Romania,1851-1900,0
1183,United States of America-Romania,1901-1950,10
1184,United States of America-Romania,1951-2000,3
1185,United States of America-Russia,1451-1800,0
1186,United States of America-Russia,1801-1850,0
1187,United States of America-Russia,1851-1900,2
1188,United States of America-Russia,1901-1950,7
1189,United States of America-Russia,1951-2000,6
1190,United States of America-Slovenia,1451-1800,0
1191,United States of America-Slovenia,1801-1850,0
1192,United States of America-Slovenia,1851-1900,0
1193,United States of America-Slovenia,1901-1950,1
1194,United States of America-Slovenia,1951-2000,2
1195,United States of America-South Africa,1451-1800,0
1196,United States of America-South Africa,1801-1850,0
1197,United States of America-South Africa,1851-1900,0
1198,United States of America-South Africa,1901-1950,1
1199,United States of America-South Africa,1951-2000,5
1200,United States of America-Sweden,1451-1800,0
1201,United States of America-Sweden,1801-1850,0
1202,United States of America-Sweden,1851-1900,0
1203,United States of America-Sweden,1901-1950,10
1204,United States of America-Sweden,1951-2000,0
1205,United States of America-Switzerland,1451-1800,0
1206,United States of America-Switzerland,1801-1850,0
1207,United States of America-Switzerland,1851-1900,2
1208,United States of America-Switzerland,1901-1950,0
1209,United States of America-Switzerland,1951-2000,1
1210,United States of America-Turkey,1451-1800,0
1211,United States of America-Turkey,1801-1850,0
1212,United States of America-Turkey,1851-1900,0
1213,United States of America-Turkey,1901-1950,0
1214,United States of America-Turkey,1951-2000,10
1215,United States of America-United Kingdom,1451-1800,0
1216,United States of America-United Kingdom,1801-1850,3
1217,United States of America-United Kingdom,1851-1900,8
1218,United States of America-United Kingdom,1901-1950,79
1219,United States of America-United Kingdom,1951-2000,41
1220,United States of America-United States of America,1451-1800,0
1221,United States of America-United States of America,1801-1850,5
1222,United States of America-United States of America,1851-1900,137
1223,United States of America-United States of America,1901-1950,678
1224,United States of America-United States of America,1951-2000,205
