,0
600,sci_nat
601,math
602,math
603,math
604,math
605,autre
606,math
607,ing_info
608,autre
609,math
610,math
611,sci_nat
612,math
613,math
614,math
615,math
616,sci_nat
617,math
618,sci_nat
619,math
620,sci_nat
621,math
622,autre
623,sci_nat
624,math
625,autre
626,math
627,sci_nat
628,autre
629,math
630,math
631,math
632,math
633,math
634,math
635,math
636,math
637,math
638,math
639,math
640,autre
641,math
642,sci_nat
643,math
644,math
645,autre
646,math
647,autre
648,math
649,math
650,sci_nat
651,math
652,math
653,math
654,math
655,math
656,sci_nat
657,math
658,sci_nat
659,sci_nat
660,autre
661,math
662,math
663,math
664,autre
665,math
666,math
667,ing_info
668,math
669,math
670,math
671,math
672,math
673,sci_nat
674,sci_nat
675,math
676,math
677,autre
678,math
679,math
680,sci_nat
681,sci_nat
682,autre
683,autre
684,math
685,math
686,math
687,sci_nat
688,math
689,math
690,math
691,math
692,math
693,math
694,math
695,sci_nat
696,math
697,math
698,math
699,math
700,math
701,math
702,math
703,math
704,math
705,math
706,math
707,sci_nat
708,sci_nat
709,math
710,math
711,math
712,math
713,math
714,sci_nat
715,sci_nat
716,phylo
717,math
718,math
719,sci_nat
720,math
721,math
722,sci_nat
723,sci_nat
724,math
725,math
726,math
727,autre
728,math
729,math
730,math
731,math
732,sci_nat
733,autre
734,autre
735,phylo
736,math
737,sci_nat
738,math
739,math
740,math
741,autre
742,math
743,autre
744,autre
745,sci_nat
746,math
747,math
748,math
749,math
750,math
751,math
752,math
753,autre
754,autre
755,autre
756,math
757,math
758,sci_nat
759,math
760,autre
761,math
762,math
763,math
764,math
765,math
766,autre
767,math
768,math
769,autre
770,ing_info
771,sci_nat
772,math
773,math
774,math
775,math
776,math
777,sci_nat
778,sci_nat
779,math
780,math
781,sci_nat
782,math
783,math
784,math
785,math
786,ing_info
787,math
788,autre
789,autre
790,math
791,autre
792,math
793,math
794,sci_nat
795,math
796,math
797,autre
798,math
799,sci_hum
800,math
801,math
802,autre
803,math
804,autre
805,math
806,math
807,math
808,sci_nat
809,math
810,math
811,math
812,math
813,autre
814,math
815,math
816,autre
817,math
818,math
819,autre
820,sci_nat
821,math
822,math
823,sci_nat
824,sci_nat
825,autre
826,math
827,sci_nat
828,math
829,math
830,math
831,math
832,math
833,math
834,math
835,math
836,sci_nat
837,sci_nat
838,autre
839,math
840,autre
841,math
842,math
843,math
844,math
845,math
846,sci_nat
847,math
848,math
849,math
850,math
851,math
852,math
853,math
854,autre
855,autre
856,math
857,math
858,sci_hum
859,math
860,math
861,math
862,math
863,math
864,math
865,math
866,math
867,math
868,math
869,math
870,math
871,autre
872,autre
873,sci_nat
874,autre
875,autre
876,math
877,autre
878,autre
879,autre
880,autre
881,autre
882,math
883,sci_hum
884,autre
885,autre
886,autre
887,sci_nat
888,math
889,autre
890,autre
891,math
892,math
893,math
894,math
895,autre
896,autre
897,math
898,autre
899,autre
900,math
901,math
902,math
903,math
904,math
905,math
906,math
907,math
908,math
909,math
910,math
911,math
912,math
913,sci_nat
914,math
915,math
916,autre
917,math
918,autre
919,autre
920,autre
921,math
922,sci_nat
923,phylo
924,math
925,math
926,math
927,math
928,math
929,math
930,math
931,math
932,autre
933,math
934,math
935,autre
936,autre
937,math
938,math
939,math
940,autre
941,math
942,math
943,math
944,math
945,math
946,sci_nat
947,phylo
948,math
949,sci_nat
950,phylo
951,math
952,math
953,sci_nat
954,sci_nat
955,math
956,math
957,math
958,math
959,math
960,math
961,math
962,autre
963,autre
964,math
965,math
966,ing_info
