"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Newton_da_Costa","http://dbpedia.org/resource/Logic","Logic",1929
"http://dbpedia.org/resource/Ilya_Piatetski-Shapiro","http://dbpedia.org/resource/Mathematician","Mathematician",1929
"http://dbpedia.org/resource/Newton_da_Costa","http://dbpedia.org/resource/Philosophy","Philosophy",1929
"http://dbpedia.org/resource/Newton_da_Costa","http://dbpedia.org/resource/Philosophy_of_Science","Philosophy of Science",1929
"http://dbpedia.org/resource/John_Trevor_Stuart","http://dbpedia.org/resource/Fluid_mechanics","Fluid mechanics",1929
"http://dbpedia.org/resource/Yurii_Reshetnyak","http://dbpedia.org/resource/Mathematics","Mathematics",1929
"http://dbpedia.org/resource/András_Prékopa","http://dbpedia.org/resource/Operations_Research","Operations Research",1929
"http://dbpedia.org/resource/Günter_Lumer","http://dbpedia.org/resource/Mathematics","Mathematics",1929
"http://dbpedia.org/resource/Akio_Hattori","http://dbpedia.org/resource/Mathematics","Mathematics",1929
"http://dbpedia.org/resource/John_Bryce_McLeod","http://dbpedia.org/resource/Differential_equation","Differential equation",1929
"http://dbpedia.org/resource/Rudolf_E._Kálmán","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Vera_T._Sós","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Victor_Andreevich_Toponogov","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Rudolf_E._Kálmán","http://dbpedia.org/resource/Electrical_Engineering","Electrical Engineering",1930
"http://dbpedia.org/resource/Georges_Matheron","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Goro_Shimura","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Politician","Politician",1930
"http://dbpedia.org/resource/Emilio_Gagliardo","http://dbpedia.org/resource/Mathematician","Mathematician",1930
"http://dbpedia.org/resource/George_Herbert_Weiss","http://dbpedia.org/resource/Mathematician","Mathematician",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Board_of_directors","Board of directors",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Trade_association","Trade association",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Mathematician","Mathematician",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Nonprofit_organization","Nonprofit organization",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Accountant","Accountant",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Economist","Economist",1930
"http://dbpedia.org/resource/Gijs_van_Aardenne","http://dbpedia.org/resource/Businessperson","Businessperson",1930
"http://dbpedia.org/resource/Sigve_Tjøtta","http://dbpedia.org/resource/Hydroacoustics","Hydroacoustics",1930
"http://dbpedia.org/resource/Shreeram_Shankar_Abhyankar","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Stephen_Smale","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Tomio_Kubota","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Walter_Feit","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Walter_Lewis_Baily_Jr.","http://dbpedia.org/resource/Mathematics","Mathematics",1930
"http://dbpedia.org/resource/Vyacheslav_Ivanovich_Lebedev","http://dbpedia.org/resource/Mathematician","Mathematician",1930
"http://dbpedia.org/resource/Sigve_Tjøtta","http://dbpedia.org/resource/Acoustic_streaming","Acoustic streaming",1930
"http://dbpedia.org/resource/Sigve_Tjøtta","http://dbpedia.org/resource/Plasma_(physics)","Plasma (physics)",1930
"http://dbpedia.org/resource/Sigve_Tjøtta","http://dbpedia.org/resource/Nonlinear_acoustics","Nonlinear acoustics",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Intellectual_history","Intellectual history",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Race_relations","Race relations",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Welfare_economics","Welfare economics",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Economic_Development","Economic Development",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/African-American_history","African-American history",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Education","Education",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Historical_linguistics","Historical linguistics",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Higher_education","Higher education",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/History","History",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Economic_history","Economic history",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Discrimination","Discrimination",1930
"http://dbpedia.org/resource/Thomas_Sowell","http://dbpedia.org/resource/Sociology","Sociology",1930
